"","segment","category","quantity_before","price_before","coef_price","price_elaticity","p_drop_5_percent","rev_change_d_5_percent","p_drop_10_percent","rev_change_d_10_percent","p_add_5_percent","rev_change_a_5_percent","p_add_10_percent","rev_change_a_10_percent"
"1",1,"alcoh",7.217,1.587,-0.838,0.184,7.283,-0.473,7.35,-0.955,7.151,0.463,7.084,0.913
"2",1,"app",5.055,1.427,-0.714,0.202,5.106,-0.292,5.157,2.226,5.004,0.284,4.953,0.561
"3",1,"bev",2.136,0.601,-0.779,0.219,2.159,-0.051,2.183,2.692,2.113,0.05,2.089,0.097
"4",1,"brunc",2.412,1.176,0,0,0,0,1,0,0,0,0,0
"5",1,"buffe",3.804,1.081,0,0,0,0,1,0,0,0,0,0
"6",1,"burg",3.601,1.094,-0.694,0.211,3.639,-0.157,3.677,3.297,3.563,0.153,3.525,0.302
"7",1,"combo",2.63,0.767,-1.364,0.398,2.682,-0.063,2.735,3.056,2.578,0.059,2.525,0.113
"8",1,"dess",1.623,0.454,-0.753,0.211,1.64,-0.03,1.657,2.266,1.606,0.029,1.589,0.057
"9",1,"drink",0.56,0.241,0,0,0,0,1,0,0,0,0,0
"10",1,"h_ent",5.998,2.085,-0.792,0.275,6.08,-0.463,6.163,1.286,5.916,0.446,5.833,0.872
"11",1,"kids",1.993,0.468,-0.497,0.117,2.005,-0.041,2.016,2.163,1.981,0.041,1.97,0.081
"12",1,"l_ent",3.137,0.926,-0.626,0.185,3.166,-0.12,3.195,3.221,3.108,0.117,3.079,0.231
"13",1,"other",1.701,0.458,-0.809,0.218,1.72,-0.031,1.738,2.251,1.682,0.03,1.664,0.059
"14",1,"side",1,0.213,-0.789,0.168,1.008,-0.009,1.017,1.196,0.992,0.009,0.983,0.017
"15",1,"soupsal",2.587,0.753,-0.396,0.115,2.602,-0.087,2.617,3.033,2.572,0.086,2.557,0.17
"16",1,"steak",5.224,1.577,-0.703,0.212,5.279,-0.33,5.335,2.194,5.169,0.321,5.113,0.631
"17",2,"alcoh",7.943,1.661,-0.746,0.156,8.005,-0.562,8.067,-5.484,7.881,0.552,7.819,1.093
"18",2,"app",5.139,1.418,-0.891,0.246,5.202,-0.279,5.265,-0.706,5.076,0.271,5.013,0.532
"19",2,"bev",2.219,0.636,-0.813,0.233,2.245,-0.055,2.271,1.541,2.193,0.053,2.167,0.105
"20",2,"brunc",3.002,0.633,0,0,0,0,1,0,0,0,0,0
"21",2,"buffe",NA,NA,0,0,0,0,1,0,0,0,0,0
"22",2,"burg",3.613,1.325,-0.696,0.255,3.659,-0.181,3.705,1.362,3.567,0.175,3.521,0.345
"23",2,"combo",2.959,0.919,-0.707,0.22,2.992,-0.107,3.024,1.546,2.926,0.104,2.894,0.206
"24",2,"dess",1.889,0.434,-0.741,0.17,1.905,-0.034,1.921,1.194,1.873,0.034,1.857,0.067
"25",2,"drink",0.569,0.123,0,0,0,0,1,0,0,0,0,0
"26",2,"h_ent",6.439,2.034,-0.753,0.238,6.516,-0.506,6.592,-3.657,6.362,0.49,6.286,0.967
"27",2,"kids",2.084,0.481,-1.278,0.295,2.115,-0.036,2.145,1.23,2.053,0.034,2.023,0.068
"28",2,"l_ent",3.219,1.23,-0.829,0.317,3.27,-0.138,3.321,1.749,3.168,0.132,3.117,0.258
"29",2,"other",1.709,0.517,-0.805,0.244,1.73,-0.034,1.751,1.516,1.688,0.033,1.667,0.064
"30",2,"side",1.032,0.232,-0.687,0.154,1.04,-0.01,1.048,0.837,1.024,0.01,1.016,0.02
"31",2,"soupsal",2.908,0.882,-0.575,0.174,2.933,-0.107,2.959,1.529,2.883,0.105,2.857,0.207
"32",2,"steak",4.931,1.611,-0.495,0.162,4.971,-0.336,5.011,-0.467,4.891,0.33,4.851,0.653
"33",3,"alcoh",7.553,1.714,-0.997,0.226,7.638,-0.509,7.724,-9.578,7.468,0.494,7.382,0.972
"34",3,"app",4.818,1.578,-0.813,0.266,4.882,-0.284,4.946,-4.503,4.754,0.274,4.69,0.538
"35",3,"bev",1.928,0.588,-0.796,0.243,1.951,-0.044,1.975,0.022,1.905,0.042,1.881,0.083
"36",3,"brunc",2.828,1.313,0,0,0,0,1,0,0,0,0,0
"37",3,"buffe",NA,NA,0,0,0,0,1,0,0,0,0,0
"38",3,"burg",3.292,1.145,-0.964,0.335,3.347,-0.129,3.402,-1.52,3.237,0.122,3.182,0.238
"39",3,"combo",2.693,0.848,0.794,0.25,2.727,-0.087,2.76,-0.618,2.659,0.084,2.626,0.166
"40",3,"dess",1.82,0.504,-0.87,0.241,1.842,-0.035,1.864,0.073,1.798,0.034,1.776,0.067
"41",3,"drink",0.656,0.068,0,0,0,0,1,0,0,0,0,0
"42",3,"h_ent",5.807,1.909,-0.867,0.285,5.89,-0.404,5.972,-7.335,5.724,0.388,5.642,0.762
"43",3,"kids",1.825,0.478,-0.825,0.216,1.845,-0.035,1.864,0.067,1.805,0.034,1.786,0.067
"44",3,"l_ent",2.892,0.999,-1.243,0.429,2.954,-0.086,3.016,-0.926,2.83,0.079,2.768,0.153
"45",3,"other",1.576,0.515,-0.947,0.309,1.6,-0.029,1.625,0.2,1.552,0.028,1.527,0.053
"46",3,"side",1.008,0.24,-1.322,0.315,1.024,-0.008,1.04,0.23,0.992,0.008,0.976,0.016
