"","customer_id","spend_per_txn","spend_per_item","jan","feb","mar","apr","may","jun","jul","sep","oct","nov","dec","total_spend","mens_dept_spend","womens_dept_spend","kids_dept_spend","athletic_dept_spend","accessories_spend","recency","response","total_txns","total_items","unique_sizes","unique_depts","internet_spend","aug","tenure","retained_flag","retained_spend","cmpns","pct_response","ever_responded","opens","clicks","hhincome","hhage","hhwom","hhmen","hhkids","man_dept_buy","womens_dept_buy","kids_dept_buy","athletic_dept_buy","accessories_dept_buy","segment"
"1",1115,43.21,33.6,1,0,0,1,1,0,0,0,0,0,1,302.44,0,0,0,277.44,25,2,12,7,9,3,2,0,1,18,1,134.94,23,0.52173913,1,0.047,0.005,101361,50.3,2,1.87,2.64,0,0,0,1,1,6
"2",22535,42.32,18.14,0,1,0,0,0,0,0,0,1,0,0,126.96,0,29.99,0,44.99,51.98,0,0,3,7,3,4,0,0,20,0,0,5,0,0,0.057,0.009,84150,30.2,1.2,0.78,2,0,1,0,1,1,5
"3",76737,39.59,32.99,1,0,0,1,1,0,0,1,0,0,0,197.94,0,134.97,0,54.98,7.99,5,5,5,6,3,3,0,0,21,1,209.96,10,0.5,1,0.059,0.007,94670,40,1.97,0.86,1.41,0,1,0,1,1,6
"4",82516,29.99,29.99,0,0,1,0,0,0,0,0,0,0,0,29.99,0,0,29.99,0,0,7,0,1,1,1,1,0,0,7,1,184.46,5,0,0,0.059,0.009,75347,30.3,1.35,0.85,1.8,0,0,1,0,0,3
"5",92176,44.43,27.34,0,0,1,0,1,1,1,1,0,0,1,355.42,0,192.47,25.99,119.98,16.98,5,11,8,13,5,4,0,0,19,0,0,24,0.458333333,1,0.042,0.005,110581,46.5,1.93,1.88,2.53,0,1,1,1,1,6
"6",102181,46.66,23.33,0,1,0,0,0,0,0,0,0,1,0,139.98,0,0,0,139.98,0,8,1,3,6,3,2,0,0,11,1,69.99,10,0.1,1,0.06,0.007,65825,36.7,1.97,0.74,1.57,0,0,0,1,0,1
"7",108686,29.99,23.99,0,0,1,0,0,0,0,0,0,1,0,119.96,0,100.98,0,0,18.98,11,2,4,5,2,2,0,1,19,0,0,6,0.333333333,1,0.073,0.006,76403,43.8,1.98,1.03,1.44,0,1,0,0,1,5
"9",157855,36.24,14.83,1,0,0,0,1,0,0,0,0,0,1,326.17,40,3.75,17.49,264.93,0,5,7,9,22,6,4,0,1,21,0,0,18,0.388888889,1,0.047,0.005,113975,58.8,2.13,1.88,2.48,1,1,1,1,0,6
"10",178949,36.99,9.73,0,0,0,1,0,0,0,0,1,0,0,184.96,0,0,53.6,121.37,9.99,6,3,5,19,7,3,0,1,14,1,313.91,11,0.272727273,1,0.04,0.005,97597,59.7,2.02,1.54,2.69,0,0,1,1,1,3
"11",181157,63.98,31.99,0,0,0,0,0,0,0,0,0,0,0,63.98,0,0,0,54.99,8.99,14,0,1,2,2,2,0,1,14,0,0,5,0,0,0.065,0.009,73068,29.3,1.25,0.99,2.24,0,0,0,1,1,1
"12",197325,158.46,35.21,1,0,0,0,0,0,1,0,0,0,0,316.91,47.48,22.49,0,236.95,9.99,3,0,2,9,4,4,0,0,21,1,282.4,8,0,0,0.057,0.009,75272,45.9,1.81,0.95,1.46,1,1,0,1,1,7
"13",204960,87.48,43.74,0,0,0,0,0,0,0,0,0,1,0,87.48,0,27.49,0,59.99,0,11,0,1,2,2,2,0,0,11,0,0,7,0,0,0.066,0.011,47833,28.9,1.08,0.73,0.36,0,1,0,1,0,5
"14",228900,44.99,33.74,0,1,1,0,0,1,0,0,0,0,0,134.96,0,129.97,0,0,4.99,7,5,3,4,2,2,0,0,20,0,0,16,0.3125,1,0.075,0.01,94914,38,1.76,1.31,1.43,0,1,0,0,1,4
